Date_Time,Temperature,Humidity,Pressure,Precipitation,Wind_Speed
2023-08-31 00:00:00,27.1,76,979.6,0.0,6.5
2023-08-31 01:00:00,26.7,78,979.3,0.0,7.3
2023-08-31 02:00:00,26.5,79,979.1,0.0,8.0
2023-08-31 03:00:00,26.8,76,979.2,0.0,7.1
2023-08-31 04:00:00,26.2,79,979.6,0.0,5.7
2023-08-31 05:00:00,26.6,81,980.1,0.0,4.6
2023-08-31 06:00:00,27.3,78,980.7,0.0,6.1
2023-08-31 07:00:00,28.5,74,981.2,0.0,6.9
2023-08-31 08:00:00,30.4,68,981.7,0.0,5.0
2023-08-31 09:00:00,32.4,59,982.3,0.0,5.8
2023-08-31 10:00:00,33.9,53,982.3,0.0,4.8
2023-08-31 11:00:00,35.0,50,981.8,0.0,4.5
2023-08-31 12:00:00,35.8,47,981.6,0.0,6.1
2023-08-31 13:00:00,36.2,45,980.8,0.0,6.9
2023-08-31 14:00:00,36.5,44,980.2,0.0,6.6
2023-08-31 15:00:00,36.7,43,979.4,0.0,5.5
2023-08-31 16:00:00,36.6,43,979.2,0.0,4.7
2023-08-31 17:00:00,35.1,48,980.1,0.0,4.2
2023-08-31 18:00:00,33.3,65,979.9,0.0,3.9
2023-08-31 19:00:00,31.4,68,980.2,0.0,6.0
2023-08-31 20:00:00,30.3,74,980.5,0.0,6.5
2023-08-31 21:00:00,30.6,71,980.7,0.0,4.7
2023-08-31 22:00:00,30.8,68,980.7,0.0,2.8
2023-08-31 23:00:00,29.7,73,980.5,0.0,3.3
2023-09-01 00:00:00,28.6,79,979.9,0.0,5.4
2023-09-01 01:00:00,28.0,80,979.4,0.0,5.2
2023-09-01 02:00:00,27.8,78,979.3,0.0,5.1
2023-09-01 03:00:00,27.5,76,979.2,0.0,5.8
2023-09-01 04:00:00,26.9,79,979.3,0.0,5.4
2023-09-01 05:00:00,27.6,76,979.8,0.0,5.0
2023-09-01 06:00:00,28.0,76,980.2,0.0,5.4
2023-09-01 07:00:00,29.6,71,980.9,0.0,6.2
2023-09-01 08:00:00,31.7,64,981.5,0.0,4.2
2023-09-01 09:00:00,33.6,55,981.8,0.0,5.7
2023-09-01 10:00:00,35.2,48,981.8,0.0,5.1
2023-09-01 11:00:00,36.6,42,981.5,0.0,7.6
2023-09-01 12:00:00,37.3,38,981.0,0.0,10.6
2023-09-01 13:00:00,37.4,37,980.3,0.0,12.6
2023-09-01 14:00:00,37.2,38,979.6,0.0,13.7
2023-09-01 15:00:00,37.1,38,979.0,0.0,11.5
2023-09-01 16:00:00,37.0,38,978.5,0.0,10.1
2023-09-01 17:00:00,35.1,43,979.5,0.0,7.0
2023-09-01 18:00:00,33.2,53,979.8,0.0,5.4
2023-09-01 19:00:00,31.4,58,979.7,0.0,5.6
2023-09-01 20:00:00,30.2,64,980.0,0.0,8.2
2023-09-01 21:00:00,29.8,64,979.9,0.0,9.0
2023-09-01 22:00:00,29.6,61,979.6,0.0,8.4
2023-09-01 23:00:00,30.6,55,979.4,0.0,6.2
